0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/css/Homepage.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%209.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%208.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%2011.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%2010.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%204.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%202.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%205.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%20x/watch.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:27 +0530] "GET /Online_E_Shopping_Store/kithmalInsert.jsp HTTP/1.1" 200 7551
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:27 +0530] "GET /Online_E_Shopping_Store/kithmalCSS/kithmalInsertUpdate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:27 +0530] "GET /Online_E_Shopping_Store/JS/new.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:27 +0530] "GET /Online_E_Shopping_Store/kithmaImages/kith4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:27 +0530] "GET /Online_E_Shopping_Store/kithmaImages/kith2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:27 +0530] "GET /Online_E_Shopping_Store/kithmaImages/kith5.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:27 +0530] "GET /Online_E_Shopping_Store/kithmaImages/kith3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:27 +0530] "GET /Online_E_Shopping_Store/JS/new.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:27 +0530] "GET /Online_E_Shopping_Store/JS/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:27 +0530] "GET /Online_E_Shopping_Store/kithmalCSS/video.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:27 +0530] "GET /Online_E_Shopping_Store/kithmaImages/kith1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
